ID,NGain_TPACK,NGain_STEM,NGain_ESD,NGain_RPP Integratif
ID-1,0.6483253588516746,0.6528925619834711,0.5479571138800345,0.6036590726796363
ID-2,0.7499999999999993,0.611111111111111,0.47879965982262185,0.5795820937368577
ID-3,0.5007980845969668,1.0,0.4045534150612963,0.6253677900679224
ID-4,0.8048780487804877,0.6842105263157895,0.513680387409201,0.6619974731931713
ID-5,0.5564980308997273,0.7153179190751444,0.25727146814404434,0.5289360060520875
ID-6,0.7098865478119937,0.4744871120462915,0.367629716981132,0.5244014111569917
ID-7,0.6923076923076922,0.8888888888888887,0.4936635274968027,0.6705094360817794
ID-8,0.4644387317909168,0.43000000000000005,0.45942540322580644,0.4499715481380532
ID-9,0.6842105263157894,0.5652173913043479,0.5737097234103222,0.6034374503151537
ID-10,0.7500000000000001,0.8676470588235294,0.49508884229113787,0.6790994890425183
ID-11,0.7551020408163266,0.7777777777777778,0.605498036415566,0.7037240365050266
ID-12,0.555555555555555,0.666666666666667,0.48971095515641727,0.5634859372368496
ID-13,0.7,0.5499999999999998,0.5362087326943556,0.5875515463917526
ID-14,0.4299999999999997,0.36181818181818176,0.40260665919967403,0.4002299997228922
ID-15,0.7954545454545456,0.7631578947368421,0.40618160465488723,0.626658577818257
ID-16,0.48684210526315796,0.5625,0.41813911279560123,0.48706140899227907
ID-17,0.44852941176470584,0.18181818181818182,0.5127358977003197,0.404168892891557
ID-18,0.6491085899513777,0.578642819568648,0.38384267119411436,0.5392556194406689
ID-19,0.6433416636915386,0.8099999999999999,0.2991341284103905,0.5991203273736138
ID-20,0.6554054054054054,0.7403846153846154,0.552820331178606,0.642309263751992
ID-21,0.6071428571428572,0.75,0.45387412587412607,0.5883325629594287
ID-22,0.5295675198587821,0.7221193034457205,0.587380975281331,0.6206768560425467
ID-23,0.5208246563931693,0.6082352941176471,0.47435897435897445,0.5353008052514161
ID-24,0.9333333333333336,1.0,0.5702264075335604,0.7867054695877134
ID-25,0.9423076923076925,0.7083333333333334,0.29939813036240215,0.6085842075273216
ID-26,0.6263157894736843,0.5769230769230769,0.37282229965156793,0.5139311215309109
ID-27,0.541666666666667,0.6491228070175438,0.32609627961831233,0.510434213843832
ID-28,0.6826923076923077,0.6538461538461539,0.561812233567959,0.6151783582701157
ID-29,0.4373241638011879,0.5217391304347826,0.3501581123814157,0.4363416744789788
ID-30,0.7333333333333338,0.6428571428571426,0.3413799657859719,0.5231510893531147
ID-31,0.894792214623882,0.5,0.49975490196078437,0.5973928603560822
ID-32,0.8070175438596492,0.4509803921568626,0.0,0.4604003481288078
ID-33,0.3846153846153847,0.3333333333333333,0.4229977453190862,0.38089650798867236
ID-34,0.6896551724137933,0.4642857142857142,0.5363556897647807,0.5596395350956602
ID-35,0.40310540459838773,0.7599039615846338,0.44602272727272724,0.5527671849762058
ID-36,0.43767572633552015,0.775,0.5419602818705958,0.5846534061441399
ID-37,0.4242424242424241,0.4444444444444444,0.13501722158438587,0.3316612368582038
ID-38,0.4336842105263164,0.3325,0.3590318242940384,0.3781221309803123
ID-39,0.5172413793103448,0.625,0.446969696969697,0.5295900178253118
ID-40,0.918918918918919,0.7631578947368421,0.05906568820476085,0.6249081978841627
ID-41,0.702702702702703,0.5652173913043477,0.2791492593999242,0.5136778665604895
ID-42,0.5313185474043381,0.2592592592592593,0.3925056775170327,0.3877810330482099
ID-43,0.5713265063110263,0.5686274509803922,0.4509151414309483,0.5334791931356097
ID-44,0.7431566686080373,0.42857142857142855,0.4799999999999999,0.5583223686006452
ID-45,0.5519144532597445,0.599799899949975,0.5535900104058272,0.5677139640508614
ID-46,0.6418979409131602,0.6923076923076923,0.32203585887796404,0.5344363033090055
ID-47,0.543859649122807,0.631578947368421,0.4050463188688446,0.5348249634311882
ID-48,0.6666666666666666,0.5714285714285714,0.2510729613733904,0.493258074631546
ID-49,0.519047619047619,0.3333333333333333,0.35191798179933187,0.3945551529085214
ID-50,0.6666666666666667,0.3888888888888889,0.5224854716137683,0.5319298914078872
ID-51,1.0,0.5384615384615384,0.41862662746745055,0.6359079673746775
ID-52,0.7954545454545456,1.0,0.40245239073845707,0.770474593839905
ID-53,0.888888888888889,0.6625,0.26415891800507185,0.548571571513415
ID-54,0.5643480110614764,0.45171219699884574,0.18717948717948718,0.4084728773837831
ID-55,0.40085714285714275,0.5,0.41335344118453515,0.4365994014601909
ID-56,0.4400000000000001,0.46153846153846156,0.2582595248137215,0.39896220137800775
ID-57,0.36170212765957444,0.23038461538461538,0.22553259650808896,0.27933340341864793
ID-58,0.4801920768307323,0.4907692307692307,0.11574062707161985,0.3528769564057577
ID-59,0.5183265457238065,0.6802721088435375,0.21177587844254514,0.47228292953056966
ID-60,0.6315789473684211,0.38499999999999995,0.2745812090313183,0.4247111328224273
ID-61,0.8,0.64,0.3604262968669747,0.5918785863113821
ID-62,0.7000000000000001,0.5673076923076923,0.3326200920081312,0.5323226529941905
ID-63,0.5946666666666668,0.5625,0.418336236933798,0.5243539942129753
ID-64,0.6410256410256409,0.3777777777777779,0.47078782737779684,0.4946916853951512
ID-65,0.5937499999999998,0.8503401360544218,0.31024667931688826,0.589644126672921
ID-66,0.663101604278075,0.66625,0.4144385026737966,0.5793965225983385
ID-67,0.83,0.25,0.17373309105592563,0.3961241440390557
ID-68,0.655,0.20333333333333334,0.23096638022011184,0.3665550662564599
ID-69,0.46153846153846156,0.7020785219399538,0.3995938055343998,0.531012877495404
ID-70,0.43333333333333324,0.3888888888888889,0.2219500244977952,0.3535560427470903
ID-71,0.7333333333333333,0.65,0.20148052784036063,0.5332177825984993
ID-72,0.6818181818181819,0.6,0.29014426317918307,0.5213307574385396
ID-73,0.551304347826087,0.7977900552486187,0.30745880312228974,0.5590496232141214
ID-74,0.6802666666666667,0.4345367551109179,0.42574213898688845,0.5066971597534148
ID-75,0.42424242424242437,0.46666666666666645,0.3868798836998,0.41629293531846223
ID-76,0.7283950617283953,0.8333333333333335,0.23028583012365703,0.5781690253800051
ID-77,0.417,0.6671428571428571,0.5118787547788094,0.5371051301997705
ID-78,0.356,0.45,0.14204325994592507,0.31398489999602347
ID-79,0.6465217391304346,0.20588235294117663,0.40635451505016723,0.44782442519473925
ID-80,0.5294117647058824,0.5714285714285714,0.3174999727261817,0.46052779602338495
ID-81,0.44909202203631915,0.38384615384615384,0.41675988068605524,0.41735177908852206
ID-82,0.42666666666666664,0.5566666666666666,0.35305056229522713,0.42689052647105835
ID-83,0.5,0.34375000000000006,0.35744047619047636,0.3906557871456341
ID-84,0.37312500000000043,0.3496748374187096,0.3596654275092938,0.36034413961370815
ID-85,0.517,0.44736842105263164,0.439872408293461,0.46043708181958454
ID-86,0.525,0.75,0.4052747252747251,0.5575320512820511
ID-87,0.685382381413359,0.6190476190476191,0.48863035430988916,0.5841387964173653
ID-88,0.4193548387096776,0.5522233712512926,0.28054298642533937,0.4204212507302543
ID-89,0.7559090909090911,0.5688949522510232,0.1278878701238952,0.5302529297068542
ID-90,0.30807692307692336,0.5828571428571429,0.5217391304347827,0.4913552819557925
ID-91,0.3825345486621583,0.6248294679399727,0.2518958127266731,0.41248669948766775
ID-92,0.3684210526315789,0.7142857142857143,0.45983379501385047,0.5246186237210504
ID-93,0.54,0.40888888888888886,0.18287716424362385,0.3518827439862156
ID-94,0.1739130434782608,0.4375,0.26280874896347367,0.3013495374607362
ID-95,0.7272727272727273,0.7272727272727273,0.49205961397507947,0.6362359171102044
